backbone,epoch,train_loss,train_acc,val_acc,val_f1,val_auc,fold
swin_tiny_patch4_window7_224,15,0.0819,95.68,99.03,0.9902,0.9989,1
swin_tiny_patch4_window7_224,16,0.081,95.71,98.88,0.9886,0.999,1
swin_tiny_patch4_window7_224,17,0.0835,95.49,99.07,0.9905,0.9986,1
swin_tiny_patch4_window7_224,18,0.0778,95.96,99.11,0.9909,0.9986,1
swin_tiny_patch4_window7_224,19,0.0734,96.19,99.11,0.9909,0.9986,1
swin_tiny_patch4_window7_224,20,0.0736,96.27,99.03,0.9901,0.9984,1
swin_tiny_patch4_window7_224,21,0.0727,96.49,99.07,0.9905,0.9987,1
swin_tiny_patch4_window7_224,22,0.0702,96.52,99.03,0.9901,0.9986,1
swin_tiny_patch4_window7_224,23,0.0663,96.69,99.19,0.9917,0.9986,1
swin_tiny_patch4_window7_224,24,0.0696,96.71,99.03,0.9901,0.9985,1
swin_tiny_patch4_window7_224,25,0.0681,96.88,99.11,0.9909,0.9985,1
swin_tiny_patch4_window7_224,26,0.0658,96.88,99.11,0.9909,0.9985,1
swin_tiny_patch4_window7_224,27,0.0642,97.07,99.11,0.9909,0.9981,1
swin_tiny_patch4_window7_224,28,0.0655,97.04,99.11,0.9909,0.998,1
swin_tiny_patch4_window7_224,29,0.0627,97.36,99.07,0.9905,0.9977,1
swin_tiny_patch4_window7_224,30,0.0634,97.09,99.11,0.9909,0.9978,1
swin_tiny_patch4_window7_224,1,0.2089,86.24,83.51,0.8191,0.9891,2
swin_tiny_patch4_window7_224,2,0.1578,90.67,96.14,0.9612,0.9948,2
swin_tiny_patch4_window7_224,3,0.1361,91.89,97.23,0.9721,0.9953,2
swin_tiny_patch4_window7_224,4,0.1278,92.25,97.99,0.98,0.997,2
swin_tiny_patch4_window7_224,5,0.1191,93.07,98.23,0.9825,0.9974,2
swin_tiny_patch4_window7_224,6,0.1123,93.32,98.51,0.9853,0.9981,2
swin_tiny_patch4_window7_224,7,0.1081,93.92,98.51,0.9853,0.9983,2
swin_tiny_patch4_window7_224,8,0.0999,94.17,98.55,0.9857,0.9986,2
swin_tiny_patch4_window7_224,9,0.0992,94.48,98.47,0.985,0.9991,2
swin_tiny_patch4_window7_224,10,0.0937,94.68,98.67,0.9869,0.9992,2
swin_tiny_patch4_window7_224,11,0.09,95.07,98.83,0.9886,0.9994,2
swin_tiny_patch4_window7_224,12,0.089,94.78,98.91,0.9893,0.9994,2
swin_tiny_patch4_window7_224,13,0.0855,95.5,98.91,0.9893,0.9992,2
swin_tiny_patch4_window7_224,14,0.0862,95.49,98.91,0.9894,0.9991,2
swin_tiny_patch4_window7_224,15,0.0841,95.79,98.91,0.9893,0.9991,2
swin_tiny_patch4_window7_224,16,0.0809,95.7,98.83,0.9886,0.9991,2
swin_tiny_patch4_window7_224,17,0.0779,96.12,98.75,0.9877,0.9992,2
